Quarter-Year,quarter,year,roe,roa,bookValuePerShare,interestMargin,badDebtPercentage,provisionOnBadDebt,equityOnTotalAsset,equityOnLoan,assetOnEquity,postTaxOnToi,loanOnEarnAsset,loanOnAsset,badDebtOnAsset,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,Date,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,postTaxProfit,provisionExpense,operationIncome
Q4-2023,Q4,2023,0.245,0.025,18225,0.048,0.016,1.17,0.102,0.158,9.8,0.429,0.675,0.647,0.01,8.8,0.012,0.054,0.327,12/31/2023,11750,0,-0.026,5045,-1587,7874
Q3-2023,Q3,2023,0.239,0.026,17293,0.055,0.019,1.22,0.112,0.171,8.9,0.482,0.693,0.657,0.012,7.9,0.01,0.066,0.258,9/30/2023,12065,0.098,0.044,5821,-1447,8731
Q2-2023,Q2,2023,0.243,0.025,16220,0.055,0.014,1.561,0.107,0.166,9.4,0.431,0.679,0.643,0.009,8.4,0.015,0.015,0.247,6/30/2023,11561,0.03,-0.031,4982,-1203,7426
Q1-2023,Q1,2023,0.248,0.025,15974,0.056,0.018,1.383,0.111,0.176,9,0.436,0.67,0.633,0.011,8,0.014,0.065,0.158,3/31/2023,11930,0.026,0.015,5206,-1850,8362
Q4-2022,Q4,2022,0.258,0.026,15003,0.057,0.011,2.38,0.109,0.173,9.2,0.306,0.672,0.632,0.007,8.2,0.012,0.049,0.267,12/31/2022,11751,0.162,0.07,3600,-3585,8123
Q3-2022,Q3,2022,0.273,0.029,14305,0.058,0.01,2.077,0.116,0.178,8.7,0.458,0.692,0.649,0.007,7.7,0.012,0.071,0.267,9/30/2022,10986,0.263,-0.021,5035,-962,7257
Q2-2022,Q2,2022,0.26,0.027,13362,0.055,0.012,2.214,0.108,0.171,9.3,0.427,0.674,0.631,0.008,8.3,0.006,0.057,0.255,6/30/2022,11222,0.257,-0.035,4794,-1375,7361
Q1-2022,Q1,2022,0.237,0.024,12638,0.052,0.01,2.501,0.103,0.161,9.7,0.406,0.678,0.64,0.006,8.7,0.009,0.055,0.283,3/31/2022,11633,0.265,0.15,4726,-2126,8035
Q4-2021,Q4,2021,0.236,0.023,11984,0.05,0.009,2.68,0.103,0.172,9.7,0.366,0.643,0.599,0.005,8.7,0.011,0.062,0.219,12/31/2021,10117,0.311,0.163,3702,-2011,6654
Q3-2021,Q3,2021,0.217,0.023,11286,0.054,0.009,2.328,0.106,0.175,9.4,0.359,0.651,0.606,0.006,8.4,0.018,0.052,0.252,9/30/2021,8700,0.292,-0.025,3122,-1778,5676
Q2-2021,Q2,2021,0.215,0.022,10727,0.053,0.008,2.365,0.107,0.169,9.4,0.306,0.68,0.633,0.005,8.4,0.018,0.041,0.267,6/30/2021,8925,0.358,-0.029,2730,-2431,5838
Q1-2021,Q1,2021,0.216,0.022,10303,0.05,0.013,1.274,0.105,0.166,9.5,0.399,0.685,0.634,0.008,8.5,0.015,-0.068,0.307,3/31/2021,9193,0.45,0.192,3666,-1809,6389
Q4-2020,Q4,2020,0.192,0.018,11049,0.047,0.011,1.341,0.101,0.168,9.9,0.261,0.645,0.603,0.007,8.9,0.018,0.038,0.192,12/31/2020,7714,0.153,0.145,2010,-1925,4479
Q3-2020,Q3,2020,0.2,0.02,10642,0.05,0.015,1.189,0.113,0.18,8.9,0.36,0.675,0.629,0.009,7.9,0.017,0.054,0.118,9/30/2020,6735,0.061,0.025,2423,-884,3899
