Items,Agriculture,Industry,Services,Real GDP growth,Total GDP,Agriculture,Industry,Services,GDP value (2010),GDP at constant prices (2010),Agriculture,Industry,Services,Current GDP value,Agriculture,GDP - Current prices,Industry,Services
Unit,%,%,%,,%,%,%,%,,Billion Dong,Billion Dong,Billion Dong,Billion Dong,,Billion Dong,Billion Dong,Billion Dong,Billion Dong
Q1/2013,"1,325.00 ","4,023.00 ","4,652.00 ",,476.00 ,224.00 ,493.00 ,565.00 ,,"480,455 ","65,298 ","192,430 ","222,727 ",,"90,608 ","683,668 ","275,028 ","318,032 "
Q2/2013,,,,,5 ,,,,,"614,902 ","138,831 ","230,162 ","245,909 ",,"184,605 ","830,435 ","310,970 ","334,860 "
6M/2013,"1,818.00 ",387.00 ,"4,312.00 ",,49.00 ,207.00 ,518.00 ,592.00 ,,"1,095,357 ","204,129 ","422,592 ","468,636 ",,"275,213 ","1,514,103 ","585,998 ","652,892 "
Q3/2013,,,,,554.00 ,,,,,"643,601 ","109,506 ","241,824 ","292,298 ",,"156,802 ","906,778 ","330,618 ","419,358 "
9M/2013,"1,785.00 ","3,786.00 ","4,429.00 ",,514.00 ,239.00 ,52.00 ,625.00 ,,"1,738,985 ","313,635 ","664,416 ","760,934 ",,"432,015 ","2,420,881 ","916,616 ","1,072,250 "
Q4/2013,,,,,604.00 ,,,,,"804,599 ","133,399 ","316,673 ","354,528 ",,"226,966 ","1,163,380 ","456,312 ","480,102 "
Q1/2014,"1,288.00 ","4,032.00 ",468.00 ,,506.00 ,237.00 ,469.00 ,595.00 ,,"503,683 ","66,844 ","200,860 ","235,979 ",,"97,476 ","756,566 ","305,027 ","354,063 "
Q2/2014,"2,168.00 ","3,737.00 ","4,096.00 ",,,,,,,"648,415 ","143,337 ","244,266 ","260,812 ",,"197,604 ","911,612 ","340,651 ","373,357 "
6M/2014,"1,769.00 ",387.00 ,"4,361.00 ",,518.00 ,296.00 ,533.00 ,601.00 ,,"1,152,098 ","210,181 ","445,126 ","496,791 ",,"295,080 ","1,668,178 ","645,678 ","727,420 "
Q3/2014,"1,692.00 ","3,695.00 ","4,614.00 ",,,,,,,"684,534 ","112,856 ","261,966 ","309,712 ",,"169,982 ","1,004,792 ","371,241 ","463,569 "
9M/2014,174.00 ,"3,804.00 ","4,456.00 ",,562.00 ,3 ,642.00 ,599.00 ,,"1,836,632 ","323,037 ","707,092 ","806,503 ",,"465,062 ","2,672,970 ","1,016,919 ","1,190,989 "
Q4/2014,,,,,,,,,,"859,164 ","32,514 ","344,124 ","375,553 ",,"71,477 ","1,264,886 ","499,263 ","517,304 "
Q1/2015,"1,235.00 ",348.00 ,"4,223.00 ",,603.00 ,214.00 ,835.00 ,582.00 ,,"534,573 ","66,940 ","184,644 ","216,604 ",,"99,868 ","808,883 ","281,516 ","341,622 "
Q2/2015,,,,,,,,,,"690,305 ","143,003 ","228,346 ","242,717 ",,"197,829 ","970,287 ","313,596 ","363,042 "
6M/2015,"1,673.00 ","3,345.00 ","3,961.00 ",,628.00 ,236.00 ,909.00 ,59.00 ,,"1,224,878 ","209,943 ","412,990 ","459,321 ",,"297,697 ","1,779,170 ","595,112 ","704,664 "
Q3/2015,,,,,,,,,,"729,625 ","35,340 ","136,556 ","290,347 ",,"50,741 ","1,072,220 ","205,693 ","450,838 "
9M/2015,,,,,65.00 ,177.00 ,969.00 ,617.00 ,,"1,954,503 ","245,283 ","549,546 ","749,668 ",,"348,438 ","2,851,390 ","800,805 ","1,155,502 "
Q4/2015,,,,,,,,,,"921,353 ","106,641 ","432,865 ","351,568 ",,"185,177 ","1,341,472 ","593,325 ","510,460 "
Q1/2016,"1,144.00 ","3,424.00 ","4,361.00 ",,546.00 ,(123.00),672.00 ,613.00 ,,"564,255 ","66,186 ","197,759 ","229,578 ",,"97,253 ","850,315 ","291,109 ","370,846 "
Q2/2016,,,,,,,,,,"728,713 ","143,095 ","245,730 ","258,729 ",,"198,637 ","1,029,558 ","328,145 ","400,001 "
6M/2016,"1,574.00 ","3,294.00 ","4,101.00 ",,552.00 ,(18.00),712.00 ,635.00 ,,"1,292,968 ","209,281 ","443,489 ","488,307 ",,"295,890 ","1,879,873 ","619,254 ","770,847 "
Q3/2016,,,,,,,,,,"777,912 ","114,837 ","263,235 ","310,749 ",,"176,081 ","1,157,955 ","367,494 ","498,847 "
9M/2016,"1,554.00 ","3,248.00 ",418.00 ,,593.00 ,65.00 ,75.00 ,666.00 ,,"2,070,880 ","324,118 ","706,724 ","799,056 ",,"471,971 ","3,037,828 ","986,748 ","1,269,694 "
Q4/2016,,,,,,,,,,"983,590 ","30,340 ","350,084 ","379,087 ",,,"1,464,905",,
Q1/2017,777.00 ,"3,406.00 ","4,399.00 ",,51.00 ,138.00 ,417.00 ,652.00 ,,"593,170 ","49,119 ","206,847 ","244,194 ",,"72,411 ","931,607 ","317,290 ","409,867 "
Q2/2017,,,,,617.00 ,,,,,"775,495 ","117,499 ","189,759 ","278,136 ",,"159,903 ","1,127,215 ","357,152 ","451,589 "
6M/2017,"1,506.00 ","3,276.00 ","4,184.00 ",,573.00 ,265.00 ,581.00 ,685.00 ,,"1,368,665 ","214,835 ","470,314 ","522,330 ",,"310,045 ","2,058,822 ","674,442 ","861,456 "
Q3/2017,,,,,746.00 ,,,,,"836,270 ","83,555 ","235,636 ","334,750 ",,"122,166 ","1,272,433 ","408,128 ","560,008 "
9M/2017,"1,466.00 ",325.00 ,"4,267.00 ",,641.00 ,278.00 ,717.00 ,725.00 ,,"2,204,935 ","333,053 ","758,614 ","857,080 ",,"488,229 ","3,331,255 ","1,082,570 ","1,421,464 "
Q4/2017,,,,,,,,,,"1,057,613 ","149,364 ","382,755 ","408,740 ",,"279,932 ","1,676,602 ","586,998 ","648,102 "
Q1/2018,"1,034.00 ","3,526.00 ","4,377.00 ",,738.00 ,405.00 ,97.00 ,67.00 ,,"637,244 ","70,244 ","227,596 ","260,157 ",,"106,260 ","1,027,928 ","362,500 ","449,923 "
Q2/2018,173.00 ,325.00 ,402.00 ,,679.00 ,,,,,"23,589,425.00 ","223,482 ","8,260,875.00 ","558,608 ",,"215,092 ","14,142,365.00 ","4,658,984.00 ","499,420 "
6M/2018,"1,415.00 ","3,378.00 ","4,182.00 ",,708.00 ,393.00 ,907.00 ,69.00 ,,"1,466,960 ","223,482 ","513,350 ","558,608 ",,"321,352 ","2,270,148 ","766,799 ","949,343 "
Q3/2018,"1,361.00 ","3,294.00 ","4,374.00 ",,688.00 ,346.00 ,861.00 ,687.00 ,,"1,466,960 ","3,455,611.00 ","513,350 ","9,157,347.00 ",,"1,925,103.00 ","1,242,220 ","404,299 ","618,499 "
9M/2018,"1,393.00 ","3,349.00 ","4,254.00 ",,698.00 ,365.00 ,889.00 ,689.00 ,,"23,589,425.00 ","3,455,611.00 ","8,260,875.00 ","9,157,347.00 ",,"5,133,556.00 ","36,851,303.00 ","12,340,199.00 ","15,677,722.00 "
Q4/2018,"1,583.00 ","3,582.00 ",385.00 ,,731.00 ,39.00 ,865.00 ,761.00 ,,"1,134,963 ","154,845 ","415,876 ","440,185 ",,"293,080 ","1,851,928 ","663,357 ","713,029 "
Q1/2019,"1,016.00 ","3,525.00 ","4,404.00 ",,679.00 ,268.00 ,863.00 ,65.00 ,,"681,010 ","72,261 ","247,733 ","276,919 ",,"113,401 ","1,116,680 ","393,671 ","491,778 "
Q2/2019,"1,633.00 ","3,329.00 ","4,044.00 ",,671.00 ,219.00 ,914.00 ,685.00 ,,"884,508 ","156,090 ","311,394 ","318,984 ",,"223,202 ","1,366,899 ","455,082 ","552,806 "
6M/2019,"1,355.00 ",342.00 ,"4,204.00 ",,676.00 ,239.00 ,893.00 ,669.00 ,,"1,565,704 ","228,440 ","559,224 ","595,903 ",,"336,753 ","2,484,918 ","849,830 ","1,044,588 "
Q3/2019,"1,265.00 ","3,363.00 ","4,389.00 ",,731.00 ,153.00 ,"1,005.00 ",711.00 ,,"957,109 ","124,487 ","344,648 ","381,359 ",,"194,675 ","1,539,114 ","517,564 ","675,535 "
9M/2019,132.00 ,"3,398.00 ","4,274.00 ",,698.00 ,202.00 ,936.00 ,685.00 ,,"2,522,978 ","352,698 ","903,873 ","977,261 ",,"531,111 ","4,024,265 ","1,367,394 ","1,720,123 "
Q4/2019,"1,545.00 ","3,553.00 ","3,942.00 ",,697.00 ,162.00 ,792.00 ,809.00 ,,"1,214,052 ","157,354 ","448,832 ","475,814 ",,"310,617 ","2,010,887 ","714,489 ","792,777 "
Q1/2020,"1,011.00 ","3,552.00 ","4,371.00 ",,382.00 ,8.00 ,515.00 ,327.00 ,,"707,223 ","72,406 ","260,602 ","285,964 ",,"120,084 ","1,188,207 ","422,089 ","519,313 "
Q2/2020,"1,769.00 ","3,186.00 ","4,032.00 ",,36.00 ,172.00 ,138.00 ,(176.00),,"887,862 ","158,542 ","315,686 ","313,378 ",,"244,699 ","1,382,995 ","440,569 ","557,662 "
6M/2020,"1,416.00 ","3,344.00 ","4,204.00 ",,181.00 ,119.00 ,298.00 ,57.00 ,,"1,594,140 ","575,897 ","599,315 ","188,007 ",,"364,732 ","2,576,480 ","861,692 ","1,083,270 "
Q3/2020,"1,386.00 ","3,259.00 ","4,392.00 ",,262.00 ,293.00 ,295.00 ,275.00 ,,"983,730 ","128,735 ","355,168 ","392,479 ",,"220,863 ","1,593,586 ","519,397 ","699,839 "
9M/2020,"1,405.00 ","3,316.00 ","4,273.00 ",,212.00 ,184.00 ,308.00 ,137.00 ,,"2,578,108 ","359,775 ","932,041 ","991,228 ",,"585,786 ","4,169,988 ","1,382,675 ","1,781,754 "
Q4/2020,"1,646.00 ","3,481.00 ","3,945.00 ",,448.00 ,469.00 ,56.00 ,429.00 ,,"1,268,385 ","164,726 ","473,978 ","496,223 ",,"349,207 ","2,121,415 ","738,351 ","836,983 "
Q1/2021,"1,171.00 ","3,645.00 ",422.00 ,,448.00 ,316.00 ,63.00 ,334.00 ,,"1,189,216 ","125,510 ","434,967 ","508,697 ",,"224,182 ","1,915,368 ","698,219 ","808,319 "
Q2/2021,"1,261.00 ","3,841.00 ","4,014.00 ",,661.00 ,411.00 ,"1,028.00 ",43.00 ,,"1,248,813 ","137,147 ","478,718 ","515,232 ",,"258,553 ","2,050,431 ","787,580 ","823,138 "
6M/2021,"1,215.00 ","3,761.00 ","4,113.00 ",,564.00 ,382.00 ,836.00 ,396.00 ,,"2,443,187 ","265,008 ","913,163 ","1,027,529 ",,"486,485 ","4,003,548 ","1,505,538 ","1,646,611 "
Q3/2021,"1,423.00 ","3,879.00 ","3,823.00 ",,(617.00),104.00 ,(502.00),(928.00),,"1,201,066 ","156,017 ","450,933 ","481,371 ",,"282,757 ","1,986,949 ","770,816 ","759,537 "
9M/2021,"1,279.00 ","3,803.00 ","4,019.00 ",,142.00 ,274.00 ,357.00 ,69.00 ,,"3,643,802 ","420,887 ","1,364,438 ","1,508,521 ",,"765,140 ","5,985,244 ","2,276,166 ","2,405,609 "
Q4/2021,"1,144.00 ",383.00 ,"4,196.00 ",,522.00 ,316.00 ,561.00 ,542.00 ,,"1,467,490 ","157,234 ","547,529 ","634,633 ",,"274,540 ","2,399,005 ","918,865 ","1,006,580 "
Q1/2022,"1,094.00 ","3,797.00 ",417.00 ,,503.00 ,245.00 ,638.00 ,458.00 ,,"1,255,312 ","130,990 ","462,710 ","535,754 ",,"233,213 ","2,132,796 ","809,861 ","889,376 "
Q2/2022,"1,118.00 ","4,043.00 ","3,968.00 ",,772.00 ,302.00 ,887.00 ,856.00 ,,"1,346,821 ","141,144 ","521,538 ","558,903 ",,"256,159 ","2,292,012 ","926,735 ","909,571 "
6M/2022,"1,105.00 ",393.00 ,"4,063.00 ",,642.00 ,278.00 ,77.00 ,66.00 ,,"2,602,382 ","272,241 ","984,355 ","1,094,980 ",,"489,649 ","4,429,425 ","1,740,713 ","1,799,520 "
Q3/2022,"1,138.00 ","3,999.00 ","4,029.00 ",,"1,367.00 ",324.00 ,"1,291.00 ","1,886.00 ",,"1,376,321 ","148,123 ","516,567 ","587,647 ",,"270,101 ","2,373,152 ","948,921 ","956,208 "
9M/2022,"1,127.00 ","3,869.00 ","4,131.00 ",,883.00 ,299.00 ,944.00 ,"1,057.00 ",,"4,006,189 ","424,501 ","1,477,553 ","1,728,262 ",,"770,891 ","6,839,048 ","2,646,169 ","2,825,023 "
Q4/2022,"1,295.00 ","3,778.00 ",413.00 ,,592.00 ,385.00 ,422.00 ,812.00 ,,"1,538,951 ","178,958 ","562,396 ","666,854 ",,"345,510 ","2,669,131 ","1,008,490 ","1,102,360 "
Q1/2023,"1,166.00 ","3,547.00 ","4,365.00 ",,332.00 ,252.00 ,(4.00),679.00 ,,"1,320,755 ","140,836 ","459,243 ","590,817 ",,"268,224 ","2,300,882 ","816,185 ","1,004,341 "
Q2/2023,"1,097.00 ","3,764.00 ","4,294.00 ",,414.00 ,325.00 ,25.00 ,611.00 ,,"1,407,473 ","143,521 ","512,383 ","623,253 ",,"268,127 ","2,444,649 ","920,250 ","1,049,810 "
6M/2023,"1,132.00 ","3,662.00 ","4,325.00 ",,372.00 ,307.00 ,113.00 ,633.00 ,,"2,727,672 ","284,870 ","971,854 ","1,212,811 ",,"536,480 ","4,741,481 ","1,736,335 ","2,050,730 "
Q3/2023,"1,176.00 ","3,812.00 ","4,192.00 ",,533.00 ,372.00 ,519.00 ,624.00 ,,"1,450,322 ","154,316 ","539,924 ","626,848 ",,"298,813 ","2,540,588 ","968,434 ","1,065,001 "
9M/2023,"1,151.00 ","3,716.00 ","4,272.00 ",,424.00 ,343.00 ,241.00 ,632.00 ,,"4,176,814 ","439,759 ","1,509,766 ","1,840,018 ",,"836,618 ","7,268,043 ","2,700,557 ","3,104,755 "
Q4/2023,"1,238.00 ","3,746.00 ","4,235.00 ",,672.00 ,413.00 ,735.00 ,729.00 ,,"1,643,902 ","184,545 ","605,975 ","716,362 ",,"361,551 ","2,921,187 ","1,094,325 ","1,237,147 "
