Quarter-Year,quarter,year,roe,roa,bookValuePerShare,interestMargin,badDebtPercentage,provisionOnBadDebt,equityOnTotalAsset,equityOnLoan,assetOnEquity,postTaxOnToi,loanOnEarnAsset,loanOnAsset,badDebtOnAsset,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,Date,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,postTaxProfit,provisionExpense,operationIncome
Q4-2023,Q4,2023,0.198,0.01,21562,0.026,0.013,1.818,0.053,0.069,18.7,0.3,0.797,0.773,0.01,17.7,0.011,0.032,0.168,12/31/2023,20602,0.173,0.152,6191,-4885,12772
Q3-2023,Q3,2023,0.186,0.009,20891,0.027,0.016,1.584,0.056,0.072,17.9,0.264,0.802,0.775,0.012,16.9,0.013,0.043,0.106,9/30/2023,17887,0.019,0.036,4728,-5950,11842
Q2-2023,Q2,2023,0.202,0.01,20025,0.028,0.016,1.515,0.054,0.07,18.6,0.322,0.791,0.767,0.012,17.6,0.013,0.039,0.098,6/30/2023,17257,-0.048,-0.001,5550,-3933,10884
Q1-2023,Q1,2023,0.209,0.01,19270,0.029,0.015,1.713,0.052,0.069,19.2,0.322,0.782,0.758,0.012,18.2,0.01,0.054,0.126,3/31/2023,17278,0.065,-0.016,5559,-5527,12447
Q4-2022,Q4,2022,0.198,0.009,18280,0.029,0.012,2.168,0.049,0.068,20.3,0.237,0.741,0.718,0.008,19.3,0.01,0.033,0.124,12/31/2022,17567,0.152,0.001,4157,-4576,9822
Q3-2022,Q3,2022,0.181,0.009,17704,0.028,0.013,2.138,0.049,0.068,20.3,0.305,0.751,0.73,0.01,19.3,0.009,0.075,0.125,9/30/2022,17555,0.151,-0.032,5354,-5429,12102
Q2-2022,Q2,2022,0.151,0.007,16475,0.028,0.01,2.608,0.047,0.063,21.1,0.287,0.77,0.749,0.008,20.1,0.011,0.045,0.143,6/30/2022,18131,0.049,0.117,5200,-6446,12936
Q1-2022,Q1,2022,0.139,0.007,15759,0.029,0.01,2.592,0.049,0.063,20.6,0.224,0.788,0.767,0.007,19.6,0.013,0.04,0.149,3/31/2022,16227,0.111,0.064,3638,-7391,11905
Q4-2021,Q4,2021,0.132,0.006,15150,0.029,0.01,2.194,0.049,0.064,20.4,0.151,0.79,0.769,0.008,19.4,0.015,0.004,0.116,12/31/2021,15252,-0.015,0,2296,-6238,9106
Q3-2021,Q3,2021,0.124,0.006,15089,0.03,0.016,1.402,0.051,0.065,19.6,0.139,0.813,0.788,0.013,18.6,0.016,0.017,0.16,9/30/2021,15247,0.23,-0.118,2122,-7502,10176
Q2-2021,Q2,2021,0.127,0.007,14831,0.029,0.016,1.323,0.051,0.065,19.4,0.216,0.815,0.79,0.013,18.4,0.015,0.028,0.139,6/30/2021,17292,0.598,0.184,3739,-8520,13183
Q1-2021,Q1,2021,0.108,0.006,14431,0.025,0.018,1.076,0.053,0.067,18.9,0.186,0.817,0.791,0.014,17.9,0.015,-0.085,0.116,3/31/2021,14605,0.288,-0.057,2722,-7173,10569
Q4-2020,Q4,2020,0.094,0.005,15773,0.024,0.018,0.884,0.053,0.066,19,0.11,0.828,0.801,0.014,18,0.016,-0.02,0.087,12/31/2020,15480,0.113,0.249,1696,-7006,9158
Q3-2020,Q3,2020,0.126,0.006,16099,0.025,0.02,0.871,0.055,0.071,18,0.175,0.808,0.78,0.015,17,0.016,0.023,0.067,9/30/2020,12393,0.069,0.145,2174,-5758,8461
Q2-2020,Q2,2020,0.125,0.006,15744,0.025,0.02,0.81,0.055,0.07,18.2,0.189,0.816,0.788,0.016,17.2,0.015,0.005,0.07,6/30/2020,10823,-0.095,-0.045,2048,-4320,6865
Q1-2020,Q1,2020,0.122,0.006,15670,0.027,0.017,0.861,0.055,0.072,18.2,0.127,0.792,0.765,0.013,17.2,0.016,0.019,0.079,3/31/2020,11339,0.059,-0.185,1444,-6041,7855
Q4-2019,Q4,2019,0.134,0.006,15373,0.026,0.017,0.742,0.052,0.07,19.2,0.217,0.774,0.75,0.013,18.2,0.017,0.31,0.13,12/31/2019,13907,0.196,0.2,3020,-3507,7355
Q3-2019,Q3,2019,0.135,0.005,11738,0.027,0.021,0.782,0.042,0.055,24,0.162,0.778,0.753,0.016,23,0.018,0.032,0.108,9/30/2019,11588,0.066,-0.032,1874,-5756,8075
Q2-2019,Q2,2019,0.137,0.005,11372,0.027,0.02,0.727,0.041,0.054,24.3,0.146,0.784,0.761,0.015,23.3,0.016,0.015,0.146,6/30/2019,11966,0.116,0.118,1746,-5559,7747
Q1-2019,Q1,2019,0.145,0.006,11199,0.027,0.017,0.702,0.042,0.055,23.7,0.189,0.787,0.763,0.013,22.7,0.018,-0.176,0.166,3/31/2019,10705,-0.051,-0.079,2025,-5187,7707
Q4-2018,Q4,2018,0.151,0.006,13598,0.028,0.017,0.743,0.042,0.055,24,0.148,0.777,0.753,0.013,23,0.019,0.018,0.142,12/31/2018,11624,0.029,0.07,1725,-4528,6747
Q3-2018,Q3,2018,0.177,0.007,13356,0.029,0.018,0.87,0.042,0.055,23.6,0.167,0.787,0.764,0.013,22.6,0.019,0.01,0.17,9/30/2018,10866,-0.001,0.013,1810,-4340,6624
Q2-2018,Q2,2018,0.17,0.007,13227,0.03,0.015,0.85,0.042,0.057,23.8,0.185,0.755,0.733,0.011,22.8,0.023,0.047,0.152,6/30/2018,10722,0.189,-0.049,1985,-4013,6497
Q1-2018,Q1,2018,0.153,0.006,12631,0.03,0.016,0.807,0.041,0.058,24.2,0.179,0.74,0.716,0.012,23.2,0.023,0.037,0.158,3/31/2018,11278,0.43,-0.002,2021,-6013,8499
Q4-2017,Q4,2017,0.156,0.006,12179,0.029,0.016,0.792,0.041,0.057,24.5,0.243,0.741,0.721,0.012,23.5,0.017,0.053,0.197,12/31/2017,11299,0.265,0.038,2750,-3028,6274
Q3-2017,Q3,2017,0.13,0.006,11570,0.03,0.021,0.84,0.041,0.056,24.2,0.136,0.758,0.735,0.015,23.2,0.014,-0.033,0.226,9/30/2017,10881,0.35,0.207,1483,-5556,7418
Q2-2017,Q2,2017,0.141,0.006,11969,0.028,0.019,0.829,0.044,0.06,22.8,0.108,0.757,0.734,0.014,21.8,0.011,0.052,0.226,6/30/2017,9017,0.32,0.143,978,-3983,5399
Q1-2017,Q1,2017,0.146,0.007,11375,0.027,0.021,0.713,0.045,0.06,22.4,0.234,0.766,0.739,0.016,21.4,0.01,0.035,0.216,3/31/2017,7887,0.176,-0.117,1849,-2348,4625
Q4-2016,Q4,2016,0.147,0.007,10993,0.026,0.02,0.706,0.044,0.061,22.8,0.175,0.744,0.719,0.014,21.8,0.01,-0.037,0.209,12/31/2016,8932,0.155,0.108,1564,-2302,4278
Q3-2016,Q3,2016,0.153,0.007,11415,0.027,0.02,0.776,0.048,0.068,20.7,0.247,0.739,0.71,0.014,19.7,0.011,0.034,0.227,9/30/2016,8062,0.334,0.18,1989,-2478,4908
Q2-2016,Q2,2016,0.166,0.008,11044,0.026,0.02,0.753,0.048,0.068,20.9,0.148,0.736,0.707,0.014,19.9,0.01,0.015,0.269,6/30/2016,6830,0.207,0.018,1012,-2503,3753
Q1-2016,Q1,2016,0.158,0.008,10880,0.028,0.018,0.777,0.051,0.07,19.6,0.251,0.76,0.726,0.013,18.6,0.01,0.069,0.341,3/31/2016,6706,0.27,-0.133,1683,-1991,4068
Q4-2015,Q4,2015,0.17,0.008,10177,0.027,0.016,0.76,0.048,0.068,20.8,0.241,0.736,0.703,0.011,19.7,0.009,0.031,0.343,12/31/2015,7731,0.057,0.279,1863,-1717,4130
Q3-2015,Q3,2015,0.165,0.009,9870,0.028,0.022,0.724,0.05,0.072,19.8,0.334,0.735,0.7,0.015,18.8,0.012,0.126,0.334,9/30/2015,6042,0.23,0.067,2017,-499,2917
Q2-2015,Q2,2015,0.161,0.008,8762,0.027,0.028,0.636,0.049,0.068,20.6,0.112,0.753,0.715,0.02,19.6,0.013,0.01,0.304,6/30/2015,5661,0.057,0.072,631,-2482,3326
Q1-2015,Q1,2015,0.154,0.009,8678,0.029,0.022,0.732,0.053,0.075,19,0.353,0.746,0.702,0.016,18,0.014,0.046,0.168,3/31/2015,5279,0.147,-0.278,1865,-979,3252
Q4-2014,Q4,2014,0.151,0.008,8296,0.028,0.019,0.764,0.051,0.075,19.5,0.189,0.726,0.685,0.013,18.5,0.016,0.041,0.14,12/31/2014,7316,0.124,0.489,1457,-3170,5030
Q3-2014,Q3,2014,0.14,0.008,7968,0.029,0.019,0.914,0.054,0.078,18.7,0.323,0.735,0.689,0.013,17.7,0.016,-0.033,0.105,9/30/2014,4914,0.145,-0.082,1586,-1047,3030
Q2-2014,Q2,2014,0.131,0.007,8237,0.029,0.025,0.769,0.057,0.083,17.5,0.076,0.733,0.687,0.017,16.5,0.017,-0.009,0.09,6/30/2014,5355,0.153,0.163,404,-2172,2687
Q1-2014,Q1,2014,0.145,0.008,8316,0.029,0.02,0.816,0.058,0.084,17.1,0.336,0.743,0.696,0.014,16.1,0.018,0.043,0.155,3/31/2014,4603,0.173,-0.293,1545,-695,2644
Q4-2013,Q4,2013,0.137,0.008,7973,0.029,0.019,0.85,0.058,0.082,17.1,0.146,0.759,0.713,0.013,16.1,0.017,0.02,0.15,12/31/2013,6507,0.37,0.516,949,-2514,3764
Q3-2013,Q3,2013,0.153,0.009,7818,0.029,0.023,0.835,0.059,0.084,17,0.265,0.741,0.697,0.016,16,0.016,0.118,0.113,9/30/2013,4291,0.261,-0.076,1139,-1404,2885
Q2-2013,Q2,2013,0.134,0.007,6991,0.029,0.027,0.737,0.054,0.077,18.5,0.179,0.744,0.701,0.019,17.5,0.016,0.017,0.12,6/30/2013,4643,-0.085,0.183,832,-1811,2875
Q1-2013,Q1,2013,0.111,0.007,6876,0.031,0.028,0.708,0.057,0.08,17.6,0.292,0.755,0.71,0.02,16.6,0.017,0.028,0.144,3/31/2013,3924,0.119,-0.174,1146,-807,2322
