Date,Quarterly_GDP
2013-03-31,1104874.55628
2013-06-30,1255539.2685
2013-09-30,1305760.8392400001
2013-12-31,1355982.40998
2014-03-31,1206944.09814
2014-06-30,1371527.38425
2014-09-30,1426388.4796199999
2014-12-31,1481249.5749899999
2015-03-31,1236965.55774
2015-06-30,1405642.67925
2015-09-30,1461868.38642
2015-12-31,1518094.0935900002
2016-03-31,1329186.32616
2016-06-30,1510439.007
2016-09-30,1570856.56728
2016-12-31,1631274.1275600002
2017-03-31,1454598.14302
2017-06-30,1652952.43525
2017-09-30,1719070.5326600003
2017-12-31,1785188.6300700002
2018-03-31,1603250.49324
2018-06-30,1821875.5605
2018-09-30,1894750.58292
2018-12-31,1967625.60534
2019-03-31,1728668.44854
2019-06-30,1964395.96425
2019-09-30,2042971.80282
2019-12-31,2121547.64139
2020-03-31,1792003.36832
2020-06-30,2036367.464
2020-09-30,2117822.16256
2020-12-31,2199276.86112
2021-03-31,1894674.4718
2021-06-30,2153039.1725
2021-09-30,2239160.7394
2021-12-31,2325282.3063
2022-03-31,2121375.22938
2022-06-30,2410653.66975
2022-09-30,2507079.81654
2022-12-31,2603505.96333
2023-03-31,2221636.7294
2023-06-30,2524587.1925
2023-09-30,2625570.6802
2023-12-31,2726554.1679000002
