,Q3-2024,Q2-2024,Q1-2024,Q4-2023,Q3-2023,Q2-2023,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Mean value,,Standard Deviation,,Median,
quarter,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,,,,,,
year,2024,2024,2024,2023,2023,2023,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,,,,,,
roe,0.189,0.191,0.191,0.198,0.186,0.202,0.209,0.198,0.181,0.151,0.139,0.132,0.124,0.127,0.108,0.094,0.126,0.125,0.122,0.134,0.135,0.137,0.145,0.151,0.177,0.17,0.153,0.156,0.13,0.141,0.146,0.147,0.153,0.166,0.158,0.17,0.165,0.161,0.154,0.151,0.14,0.131,0.145,0.137,0.153,0.134,0.111,0.152,,0.026445185,,0.151,
roa,0.01,0.01,0.01,0.01,0.009,0.01,0.01,0.009,0.009,0.007,0.007,0.006,0.006,0.007,0.006,0.005,0.006,0.006,0.006,0.006,0.005,0.005,0.006,0.006,0.007,0.007,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.009,0.008,0.009,0.008,0.008,0.007,0.008,0.008,0.009,0.007,0.007,0.007404255,,0.001498689,,0.007,
bookValuePerShare,24285,23632,22632,21562,20891,20025,19270,18280,17704,16475,15759,15150,15089,14831,14431,15773,16099,15744,15670,15373,11738,11372,11199,13598,13356,13227,12631,12179,11570,11969,11375,10993,11415,11044,10880,10177,9870,8762,8678,8296,7968,8237,8316,7973,7818,6991,6876,13557.08511,,4582.909774,,12631,
interestMargin,0.025,0.025,0.025,0.026,0.027,0.028,0.029,0.029,0.028,0.028,0.029,0.029,0.03,0.029,0.025,0.024,0.025,0.025,0.027,0.026,0.027,0.027,0.027,0.028,0.029,0.03,0.03,0.029,0.03,0.028,0.027,0.026,0.027,0.026,0.028,0.027,0.028,0.027,0.029,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.031,0.027702128,,0.001679996,,0.028,
badDebtPercentage,0.017,0.015,0.015,0.013,0.016,0.016,0.015,0.012,0.013,0.01,0.01,0.01,0.016,0.016,0.018,0.018,0.02,0.02,0.017,0.017,0.021,0.02,0.017,0.017,0.018,0.015,0.016,0.016,0.021,0.019,0.021,0.02,0.02,0.02,0.018,0.016,0.022,0.028,0.022,0.019,0.019,0.025,0.02,0.019,0.023,0.027,0.028,0.018106383,,0.00415061,,0.018,
provisionOnBadDebt,1.157,1.322,1.528,1.818,1.584,1.515,1.713,2.168,2.138,2.608,2.592,2.194,1.402,1.323,1.076,0.884,0.871,0.81,0.861,0.742,0.782,0.727,0.702,0.743,0.87,0.85,0.807,0.792,0.84,0.829,0.713,0.706,0.776,0.753,0.777,0.76,0.724,0.636,0.732,0.764,0.914,0.769,0.816,0.85,0.835,0.737,0.708,1.089744681,,0.529871045,,0.835,
equityOnTotalAsset,0.054,0.053,0.055,0.053,0.056,0.054,0.052,0.049,0.049,0.047,0.049,0.049,0.051,0.051,0.053,0.053,0.055,0.055,0.055,0.052,0.042,0.041,0.042,0.042,0.042,0.042,0.041,0.041,0.041,0.044,0.045,0.044,0.048,0.048,0.051,0.048,0.05,0.049,0.053,0.051,0.054,0.057,0.058,0.058,0.059,0.054,0.057,0.04993617,,0.005378719,,0.051,
equityOnLoan,0.071,0.072,0.072,0.069,0.072,0.07,0.069,0.068,0.068,0.063,0.063,0.064,0.065,0.065,0.067,0.066,0.071,0.07,0.072,0.07,0.055,0.054,0.055,0.055,0.055,0.057,0.058,0.057,0.056,0.06,0.06,0.061,0.068,0.068,0.07,0.068,0.072,0.068,0.075,0.075,0.078,0.083,0.084,0.082,0.084,0.077,0.08,0.067702128,,0.008198396,,0.068,
