Quarter-Year,quarter,year,roe,roa,bookValuePerShare,interestMargin,badDebtPercentage,provisionOnBadDebt,equityOnTotalAsset,equityOnLoan,assetOnEquity,postTaxOnToi,loanOnEarnAsset,loanOnAsset,badDebtOnAsset,payableOnEquity,cancelDebt,bookValuePerShareChange,creditGrowth,Date
Q4-2023,Q4,2023,0.198,0.01,21562,0.026,0.013,1.818,0.053,0.069,18.7,0.3,0.797,0.773,0.01,17.7,0.011,0.032,0.168,2023-04-01
Q3-2023,Q3,2023,0.186,0.009,20891,0.027,0.016,1.584,0.056,0.072,17.9,0.264,0.802,0.775,0.012,16.9,0.013,0.043,0.106,2023-03-01
Q2-2023,Q2,2023,0.202,0.01,20025,0.028,0.016,1.515,0.054,0.07,18.6,0.322,0.791,0.767,0.012,17.6,0.013,0.039,0.098,2023-02-01
Q1-2023,Q1,2023,0.209,0.01,19270,0.029,0.015,1.713,0.052,0.069,19.2,0.322,0.782,0.758,0.012,18.2,0.01,0.054,0.126,2023-01-01
Q4-2022,Q4,2022,0.198,0.009,18280,0.029,0.012,2.168,0.049,0.068,20.3,0.237,0.741,0.718,0.008,19.3,0.01,0.033,0.124,2022-04-01
Q3-2022,Q3,2022,0.181,0.009,17704,0.028,0.013,2.138,0.049,0.068,20.3,0.305,0.751,0.73,0.01,19.3,0.009,0.075,0.125,2022-03-01
Q2-2022,Q2,2022,0.151,0.007,16475,0.028,0.01,2.608,0.047,0.063,21.1,0.287,0.77,0.749,0.008,20.1,0.011,0.045,0.143,2022-02-01
Q1-2022,Q1,2022,0.139,0.007,15759,0.029,0.01,2.592,0.049,0.063,20.6,0.224,0.788,0.767,0.007,19.6,0.013,0.04,0.149,2022-01-01
Q4-2021,Q4,2021,0.132,0.006,15150,0.029,0.01,2.194,0.049,0.064,20.4,0.151,0.79,0.769,0.008,19.4,0.015,0.004,0.116,2021-04-01
Q3-2021,Q3,2021,0.124,0.006,15089,0.03,0.016,1.402,0.051,0.065,19.6,0.139,0.813,0.788,0.013,18.6,0.016,0.017,0.16,2021-03-01
Q2-2021,Q2,2021,0.127,0.007,14831,0.029,0.016,1.323,0.051,0.065,19.4,0.216,0.815,0.79,0.013,18.4,0.015,0.028,0.139,2021-02-01
Q1-2021,Q1,2021,0.108,0.006,14431,0.025,0.018,1.076,0.053,0.067,18.9,0.186,0.817,0.791,0.014,17.9,0.015,-0.085,0.116,2021-01-01
Q4-2020,Q4,2020,0.094,0.005,15773,0.024,0.018,0.884,0.053,0.066,19.0,0.11,0.828,0.801,0.014,18.0,0.016,-0.02,0.087,2020-04-01
Q3-2020,Q3,2020,0.126,0.006,16099,0.025,0.02,0.871,0.055,0.071,18.0,0.175,0.808,0.78,0.015,17.0,0.016,0.023,0.067,2020-03-01
Q2-2020,Q2,2020,0.125,0.006,15744,0.025,0.02,0.81,0.055,0.07,18.2,0.189,0.816,0.788,0.016,17.2,0.015,0.005,0.07,2020-02-01
Q1-2020,Q1,2020,0.122,0.006,15670,0.027,0.017,0.861,0.055,0.072,18.2,0.127,0.792,0.765,0.013,17.2,0.016,0.019,0.079,2020-01-01
Q4-2019,Q4,2019,0.134,0.006,15373,0.026,0.017,0.742,0.052,0.07,19.2,0.217,0.774,0.75,0.013,18.2,0.017,0.31,0.13,2019-04-01
Q3-2019,Q3,2019,0.135,0.005,11738,0.027,0.021,0.782,0.042,0.055,24.0,0.162,0.778,0.753,0.016,23.0,0.018,0.032,0.108,2019-03-01
Q2-2019,Q2,2019,0.137,0.005,11372,0.027,0.02,0.727,0.041,0.054,24.3,0.146,0.784,0.761,0.015,23.3,0.016,0.015,0.146,2019-02-01
Q1-2019,Q1,2019,0.145,0.006,11199,0.027,0.017,0.702,0.042,0.055,23.7,0.189,0.787,0.763,0.013,22.7,0.018,-0.176,0.166,2019-01-01
Q4-2018,Q4,2018,0.151,0.006,13598,0.028,0.017,0.743,0.042,0.055,24.0,0.148,0.777,0.753,0.013,23.0,0.019,0.018,0.142,2018-04-01
Q3-2018,Q3,2018,0.177,0.007,13356,0.029,0.018,0.87,0.042,0.055,23.6,0.167,0.787,0.764,0.013,22.6,0.019,0.01,0.17,2018-03-01
Q2-2018,Q2,2018,0.17,0.007,13227,0.03,0.015,0.85,0.042,0.057,23.8,0.185,0.755,0.733,0.011,22.8,0.023,0.047,0.152,2018-02-01
Q1-2018,Q1,2018,0.153,0.006,12631,0.03,0.016,0.807,0.041,0.058,24.2,0.179,0.74,0.716,0.012,23.2,0.023,0.037,0.158,2018-01-01
Q4-2017,Q4,2017,0.156,0.006,12179,0.029,0.016,0.792,0.041,0.057,24.5,0.243,0.741,0.721,0.012,23.5,0.017,0.053,0.197,2017-04-01
Q3-2017,Q3,2017,0.13,0.006,11570,0.03,0.021,0.84,0.041,0.056,24.2,0.136,0.758,0.735,0.015,23.2,0.014,-0.033,0.226,2017-03-01
Q2-2017,Q2,2017,0.141,0.006,11969,0.028,0.019,0.829,0.044,0.06,22.8,0.108,0.757,0.734,0.014,21.8,0.011,0.052,0.226,2017-02-01
Q1-2017,Q1,2017,0.146,0.007,11375,0.027,0.021,0.713,0.045,0.06,22.4,0.234,0.766,0.739,0.016,21.4,0.01,0.035,0.216,2017-01-01
Q4-2016,Q4,2016,0.147,0.007,10993,0.026,0.02,0.706,0.044,0.061,22.8,0.175,0.744,0.719,0.014,21.8,0.01,-0.037,0.209,2016-04-01
Q3-2016,Q3,2016,0.153,0.007,11415,0.027,0.02,0.776,0.048,0.068,20.7,0.247,0.739,0.71,0.014,19.7,0.011,0.034,0.227,2016-03-01
Q2-2016,Q2,2016,0.166,0.008,11044,0.026,0.02,0.753,0.048,0.068,20.9,0.148,0.736,0.707,0.014,19.9,0.01,0.015,0.269,2016-02-01
Q1-2016,Q1,2016,0.158,0.008,10880,0.028,0.018,0.777,0.051,0.07,19.6,0.251,0.76,0.726,0.013,18.6,0.01,0.069,0.341,2016-01-01
