Date,Quarterly_GDP
2000-03-31,161161.92015
2000-06-30,183138.545625
2000-09-30,190464.08745
2000-12-31,197789.629275
2001-03-31,168982.47784
2001-06-30,192025.543
2001-09-30,199706.56472000002
2001-12-31,207387.58644
2002-03-31,181281.425446
2002-06-30,206001.619825
2002-09-30,214241.684618
2002-12-31,222481.74941100003
2003-03-31,204486.49341999998
2003-06-30,232371.01525
2003-09-30,241665.85586
2003-12-31,250960.69647000002
2004-03-31,234862.0087
2004-06-30,266888.64625
2004-09-30,277564.1921
2004-12-31,288239.73795
2005-03-31,297963.9322
2005-06-30,338595.3775
2005-09-30,352139.1926
2005-12-31,365683.0077
2006-03-31,343141.50706
2006-06-30,389933.53075
2006-09-30,405530.87198
2006-12-31,421128.21321
2007-03-31,400232.58
2007-06-30,454809.75
2007-09-30,473002.14
2007-12-31,491194.53
2008-03-31,512503.67212000006
2008-06-30,582390.5365
2008-09-30,605686.1579600001
2008-12-31,628981.77942
2009-03-31,548095.79
2009-06-30,622836.125
2009-09-30,647749.5700000001
2009-12-31,672663.015
2010-03-31,761030.0654
2010-06-30,864806.8925
2010-09-30,899399.1682
2010-12-31,933991.4439000001
2011-03-31,892316.40432
2011-06-30,1013995.914
2011-09-30,1054555.75056
2011-12-31,1095115.58712
2012-03-31,1011203.7181399999
2012-06-30,1149095.13425
2012-09-30,1195058.9396199998
2012-12-31,1241022.74499
2013-03-31,1104874.55628
2013-06-30,1255539.2685
2013-09-30,1305760.8392400001
2013-12-31,1355982.40998
2014-03-31,1206944.09814
2014-06-30,1371527.38425
2014-09-30,1426388.4796199999
2014-12-31,1481249.5749899999
2015-03-31,1236965.55774
2015-06-30,1405642.67925
2015-09-30,1461868.38642
2015-12-31,1518094.0935900002
2016-03-31,1329186.32616
2016-06-30,1510439.007
2016-09-30,1570856.56728
2016-12-31,1631274.1275600002
2017-03-31,1454598.14302
2017-06-30,1652952.43525
2017-09-30,1719070.5326600003
2017-12-31,1785188.6300700002
2018-03-31,1603250.49324
2018-06-30,1821875.5605
2018-09-30,1894750.58292
2018-12-31,1967625.60534
2019-03-31,1728668.44854
2019-06-30,1964395.96425
2019-09-30,2042971.80282
2019-12-31,2121547.64139
2020-03-31,1792003.36832
2020-06-30,2036367.464
2020-09-30,2117822.16256
2020-12-31,2199276.86112
2021-03-31,1894674.4718
2021-06-30,2153039.1725
2021-09-30,2239160.7394
2021-12-31,2325282.3063
2022-03-31,2121375.22938
2022-06-30,2410653.66975
2022-09-30,2507079.81654
2022-12-31,2603505.96333
2023-03-31,2221636.7294
2023-06-30,2524587.1925
2023-09-30,2625570.6802
2023-12-31,2726554.1679000002
