ticker,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB,TCB
quarter,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3
year,2024,2024,2024,2023,2023,2023,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013
roe,0.168,0.166,0.156,0.148,0.146,0.158,0.178,0.197,0.216,0.217,0.217,0.217,0.221,0.215,0.2,0.181,0.177,0.176,0.177,0.178,0.172,0.17,0.186,0.215,0.254,0.243,0.255,0.277,0.251,0.208,0.201,0.177,0.153,0.122,0.108,0.1,0.09,0.075,0.059,0.075,0.07,0.063,0.055,0.047,-0.047
roa,0.026,0.026,0.025,0.023,0.024,0.026,0.029,0.032,0.035,0.036,0.036,0.036,0.037,0.036,0.033,0.03,0.03,0.029,0.029,0.029,0.027,0.027,0.028,0.029,0.032,0.032,0.029,0.026,0.021,0.018,0.018,0.015,0.013,0.011,0.009,0.009,0.008,0.007,0.005,0.006,0.006,0.005,0.005,0.004,-0.004
bookValuePerShare,20492,19666,19570,18683,18045,17383,16744,16100,15599,14829,13993,26417,25091,23818,22453,21214,20074,19171,18364,17679,16787,16054,15344,14749,14093,13509,10713,7670,5535,6195,5882,5591,5338,5051,4829,4707,4602,4487,4356,4272,4221,4175,4115,3964,3944
interestMargin,0.044,0.044,0.041,0.04,0.042,0.044,0.047,0.053,0.056,0.058,0.057,0.057,0.057,0.056,0.052,0.049,0.048,0.045,0.045,0.043,0.042,0.041,0.042,0.04,0.042,0.038,0.039,0.038,0.039,0.04,0.041,0.041,0.045,0.044,0.042,0.043,0.043,0.044,0.041,0.039,0.036,0.031,0.03,0.03,0.029
badDebtPercentage,0.013,0.012,0.011,0.012,0.014,0.011,0.008,0.009,0.006,0.006,0.007,0.007,0.006,0.004,0.004,0.005,0.006,0.009,0.011,0.013,0.018,0.018,0.018,0.018,0.021,0.02,0.019,0.016,0.019,0.021,0.019,0.016,0.018,0.019,0.02,0.017,0.023,0.024,0.026,0.024,0.03,0.041,0.046,0.037,0.059
provisionOnBadDebt,1.035,1.011,1.061,1.021,0.93,1.156,1.338,1.25,1.65,1.716,1.608,1.629,1.844,2.589,2.194,1.71,1.48,1.086,1.179,0.948,0.771,0.771,0.877,0.851,0.775,0.742,0.762,0.729,0.68,0.635,0.604,0.666,0.637,0.599,0.555,0.625,0.529,0.472,0.485,0.501,0.452,0.368,0.386,0.462,0.373
equityOnTotalAsset,0.156,0.153,0.156,0.155,0.163,0.167,0.163,0.162,0.164,0.167,0.16,0.164,0.163,0.166,0.171,0.17,0.176,0.17,0.165,0.162,0.16,0.156,0.165,0.161,0.159,0.158,0.138,0.1,0.083,0.094,0.089,0.083,0.084,0.083,0.085,0.086,0.092,0.091,0.085,0.085,0.087,0.086,0.088,0.088,0.083
equityOnLoan,0.231,0.234,0.247,0.254,0.267,0.262,0.253,0.27,0.268,0.267,0.27,0.268,0.275,0.268,0.267,0.269,0.306,0.291,0.278,0.269,0.287,0.304,0.329,0.324,0.296,0.285,0.229,0.167,0.141,0.165,0.15,0.138,0.138,0.139,0.149,0.148,0.172,0.173,0.172,0.187,0.207,0.198,0.201,0.198,0.198
