Date,Quarterly_GDP
3/31/2013,1104874.556
6/30/2013,1255539.269
9/30/2013,1305760.839
12/31/2013,1355982.41
3/31/2014,1206944.098
6/30/2014,1371527.384
9/30/2014,1426388.48
12/31/2014,1481249.575
3/31/2015,1236965.558
6/30/2015,1405642.679
9/30/2015,1461868.386
12/31/2015,1518094.094
3/31/2016,1329186.326
6/30/2016,1510439.007
9/30/2016,1570856.567
12/31/2016,1631274.128
3/31/2017,1454598.143
6/30/2017,1652952.435
9/30/2017,1719070.533
12/31/2017,1785188.63
3/31/2018,1603250.493
6/30/2018,1821875.561
9/30/2018,1894750.583
12/31/2018,1967625.605
3/31/2019,1728668.449
6/30/2019,1964395.964
9/30/2019,2042971.803
12/31/2019,2121547.641
3/31/2020,1792003.368
6/30/2020,2036367.464
9/30/2020,2117822.163
12/31/2020,2199276.861
3/31/2021,1894674.472
6/30/2021,2153039.173
9/30/2021,2239160.739
12/31/2021,2325282.306
3/31/2022,2121375.229
6/30/2022,2410653.67
9/30/2022,2507079.817
12/31/2022,2603505.963
3/31/2023,2221636.729
6/30/2023,2524587.193
9/30/2023,2625570.68
12/31/2023,2726554.168
